Wavelength,Intensity,Absorbance,Reflectance
900.6819491707317,3257,0.9523122,0.11160607
903.3066843684759,747,1.6090813,0.024599072
904.6183269822865,3051,1.0058675,0.09865804
905.9294862727229,6194,0.70578754,0.19688493
907.2401622397853,3205,0.9986156,0.10031927
908.5503548834732,2558,1.1028053,0.078921385
909.8600642037869,4079,0.90604776,0.12415157
912.4780328742918,6242,0.73620623,0.18356664
913.7862922244827,5218,0.82080567,0.1510756
915.0940682512995,6593,0.72761995,0.18723199
916.4013609547422,6054,0.7725194,0.16884203
917.7081703348105,4665,0.8930484,0.12792388
919.0144963915046,4034,0.9661126,0.10811535
921.6256985347701,4986,0.89978933,0.12595361
922.9305746213415,5900,0.84673536,0.14231957
924.2349673845387,6860,0.8006149,0.15826508
925.5388768243616,6976,0.8120505,0.15415213
926.8423029408103,3234,1.1658826,0.068252325
928.1452457338847,5705,0.93864775,0.115173414
929.447705203585,9113,0.75389636,0.17623965
932.0511741728627,7158,0.89533085,0.12725334
933.3521836724401,10382,0.751283,0.17730339
934.6527098486436,9611,0.80105644,0.15810426
935.9527527014725,7777,0.90883857,0.123356335
937.2523122309273,7154,0.96051717,0.10951732
938.551388437008,11360,0.773919,0.1682988
941.1480908790463,10608,0.8259183,0.1493075
942.4457171150042,8192,0.9481385,0.1126838
943.7428600275879,8632,0.93514615,0.11610577
945.0395196167972,9201,0.91691,0.121084906
946.3356958826324,10289,0.87731504,0.1326432
947.6313888250934,11188,0.8496765,0.141359
950.2213247398925,9268,0.9478858,0.11274939
951.5155677122307,9345,0.95203197,0.1116781
952.8093273611947,10837,0.8952858,0.12726654
954.1026036867844,12250,0.84949714,0.1414174
955.3953966889999,9969,0.9465313,0.11310159
956.6877063678413,11904,0.87689126,0.13277268
957.9795327233082,11710,0.8912903,0.12844278
960.5617354641197,11087,0.93061316,0.117323995
961.852111849464,12174,0.897674,0.12656859
963.142004911434,13630,0.8558963,0.13934895
964.4314146500299,12741,0.8923576,0.12812752
965.7203410652517,11047,0.9613736,0.10930157
967.008784157099,13253,0.8892605,0.1290445
969.5842203706711,14254,0.87122977,0.13451484
970.8712134923958,13500,0.9012161,0.12554052
972.1577232907462,11892,0.96258974,0.10899592
973.4437497657224,13631,0.9095218,0.12316241
974.7292929173244,14003,0.90362465,0.124846205
976.0143527455522,13658,0.92018235,0.12017598
978.583022431885,12897,0.9562136,0.110607974
979.86663228999,11705,1.0036762,0.0991571
981.1497588247207,13955,0.9326053,0.11678704
982.4324020360773,14131,0.9317286,0.117023036
983.7145619240597,13888,0.94378775,0.11381834
984.9962384886677,13197,0.9704315,0.107045524
986.2774317299017,15935,0.89261144,0.12805265
988.8383682422467,15591,0.91009796,0.122999124
990.1181115133578,14153,0.9554818,0.1107945
991.3973714610947,15150,0.92925364,0.117691845
992.6761480854575,13427,0.98500115,0.10351394
993.9544413864459,15191,0.9340441,0.11640078
995.2322513640601,16785,0.89334667,0.12783603
997.7864213491658,15740,0.926141,0.11853838
999.0627813566573,18621,0.85538393,0.13951345
1000.3386580407746,17356,0.8881669,0.12936985
1001.6140514015177,14472,0.9686068,0.10749621
1002.8889614388864,14690,0.9636271,0.10873588
1004.163388152881,19043,0.85242504,0.14046721
1006.7107916107475,18188,0.87499756,0.13335289
1007.9837683546192,15304,0.9510874,0.11192125
1009.256261775117,16547,0.91828334,0.12070261
1010.5282718722403,17962,0.8833127,0.13082397
1011.7997986459894,17503,0.8952186,0.12728621
1013.0708420963643,16030,0.93406034,0.11639643
1014.3414022233651,15432,0.95100975,0.11194127
1016.8810725072437,14913,0.9666475,0.10798228
1018.1501826641218,16416,0.9248603,0.11888846
1019.4188094976255,17693,0.8922444,0.12816092
1020.6869530077549,13617,1.0058826,0.09865461
1021.9546131945103,17283,0.9022285,0.12524821
1023.2217900578913,17283,0.902112,0.1252818
1025.7546938145306,16773,0.9145471,0.121745504
1027.020420707789,17209,0.90294486,0.12504178
1028.285664277673,20102,0.83500344,0.14621657
1029.5504245241827,19090,0.8570259,0.13898697
1030.8147014473186,16427,0.92186546,0.11971112
1032.07849504708,15622,0.94327545,0.113952674
1034.60463227648,17766,0.88690895,0.12974513
1035.8669759061188,18308,0.87362295,0.13377565
1037.1288362123832,17677,0.88822967,0.12935115
1038.3902131952732,15740,0.9380102,0.11534262
1039.6511068547893,16377,0.92015314,0.12018405
1040.9115171909311,17839,0.8824046,0.13109778
1042.1714442036987,19060,0.85303587,0.1402698
1044.689848259111,16429,0.91646594,0.121208765
1045.9483253017556,18479,0.8649338,0.13647912
1047.2063190210263,18400,0.86632586,0.13604236
1048.4638294169226,17567,0.88591915,0.13004115
1049.7208564894447,17539,0.88608116,0.12999266
1050.9774002385925,20201,0.823998,0.14996919
1053.4890377667657,19344,0.84137124,0.14408831
1054.7441315457909,16995,0.8969748,0.12677254
1055.9987420014418,16838,0.9003798,0.1257825
1057.2528691337184,15917,0.92424744,0.119056344
1058.5065129426207,18007,0.87010497,0.13486369
1059.759673428149,20385,0.8156725,0.15287183
1062.264544429083,17373,0.8842478,0.13054259
1063.516254944488,14866,0.9514975,0.11181563
1064.7674821365194,17528,0.87943953,0.1319959
1066.0182260051765,20765,0.8053164,0.15656102
1067.2684865504593,17289,0.8843575,0.13050961
1068.5182637723678,19163,0.8395557,0.14469193
1069.7675576709023,19083,0.8418019,0.14394552
1072.2646954978482,18416,0.85876733,0.13843077
1073.51253942626,16640,0.90357584,0.12486024
1074.759900031297,16559,0.90646017,0.124033734
1076.0067773129604,18384,0.8621427,0.13735907
1077.2531712712494,20197,0.8223815,0.15052842
1078.499081906164,19065,0.8485113,0.14173879
1080.9894532058706,19868,0.8324755,0.14707014
1082.2339138706625,19872,0.8333226,0.14678358
1083.4778912120803,18728,0.8599764,0.13804592
1084.7213852301238,16676,0.91127133,0.12266725
1085.964395924793,18399,0.86946577,0.13506232
1087.206923296088,19603,0.84309953,0.14351605
1089.6905280685555,20541,0.82496357,0.14963612
1090.9316054697279,16640,0.91772383,0.12085821
1092.172199547526,19489,0.850379,0.14113055
1093.4123103019497,19588,0.84946597,0.14142756
1094.6519377329992,19150,0.86040527,0.13790968
1095.8910818406748,17435,0.9022672,0.12523705
1097.1297426249757,18156,0.8857812,0.13008247
1099.6056142234556,19482,0.85753554,0.13882397
1100.842825037634,20146,0.8441608,0.14316577
1102.0795525284382,17147,0.9153358,0.1215246
1103.3157966958684,20810,0.83249354,0.14706402
1104.551557539924,20355,0.8433327,0.14343901
1105.7868350606054,19067,0.8729866,0.1339718
1108.2559401318458,17592,0.91065204,0.1228423
1109.4897676824044,20861,0.8379766,0.145219
1110.723111909589,20621,0.84412813,0.14317653
1111.9559728133995,19341,0.87307924,0.13394323
1113.1883503938354,19483,0.87102276,0.13457899
1114.4202446508973,16823,0.93603325,0.11586886
1115.651655584585,19174,0.8804815,0.13167961
1118.1130274818374,22097,0.82112175,0.15096569
1119.3429884454022,18010,0.910949,0.12275835
1120.572466085593,17799,0.91706944,0.12104046
1121.8014604024095,19420,0.88015395,0.13177894
1123.0299713958516,20595,0.8555775,0.13945127
1124.2579990659196,19901,0.8709817,0.13459171
1126.712604435933,16160,0.9625299,0.10901094
1127.9391821358781,18672,0.9003367,0.12579498
1129.1652765124493,21568,0.83830243,0.14511007
1130.3908875656462,16236,0.9622173,0.10908944
1131.6160152954685,19215,0.8896362,0.12893291
1132.840659701917,19205,0.8903487,0.12872157
1135.2884985446908,18534,0.9067592,0.12394837
1136.5116929810165,16605,0.9550032,0.11091666
1137.734404093968,15071,0.9976161,0.10055042
1138.956631883545,17228,0.94003874,0.11480512
1140.1783763497479,19782,0.88060784,0.13164128
1141.3996374925766,17684,0.92997617,0.1174962
1142.6204153120311,16039,0.97308004,0.10639469
1145.0605209808173,16824,0.95373166,0.111241885
1146.279848830149,17536,0.93642765,0.115763694
1147.4986933561063,14779,1.0114121,0.09740649
1148.7170545586896,15041,1.0046011,0.09894614
1149.9349324378986,16165,0.97412133,0.1061399
1151.1523269937334,17337,0.94454074,0.11362117
1153.5856661352805,14464,1.0252962,0.09434172
1154.8016107209924,13742,1.0485646,0.089420155
1156.0170719833304,15343,1.0017091,0.09960723
1157.2320499222938,16883,0.96117234,0.10935223
1158.4465445378833,14705,1.0221572,0.095026076
1159.6605558300985,12704,1.0863408,0.08197081
1162.087128444406,14397,1.033151,0.09265075
1163.2996897664984,16502,0.97439766,0.10607239
1164.5117677652167,13463,1.0633001,0.08643703
1165.7233624405608,11884,1.1179866,0.07621027
1166.9344737925303,14048,1.0459692,0.089956135
1168.145101821126,16784,0.96931905,0.10732007
1169.3552465263472,12387,1.1018783,0.07909002
1171.774085966667,17507,0.9535915,0.11127778
1172.9827807017655,16330,0.98478764,0.103564836
1174.1909921134898,13653,1.063561,0.086385146
1175.39872020184,14747,1.0310926,0.09309093
1176.605964966816,16105,0.9936299,0.101477586
1177.8127264084173,16022,0.99673504,0.10075462
1180.2247993214978,15042,1.0258497,0.094221555
1181.4301107929768,16415,0.98919654,0.10251878
1182.6349389410816,12704,1.1017725,0.079109274
1183.839283765812,14678,1.04031,0.091136
1185.0431452671683,16870,0.9813988,0.10437612
1186.2465234451502,12566,1.1108431,0.07747417
1188.6518298309913,17299,0.9752895,0.10585478
1189.8537580388506,16236,1.004574,0.09895233
1191.0552029233359,14131,1.0666077,0.08578123
1192.2561644844463,17049,0.9867972,0.10308674
1193.456642722183,12024,1.1399937,0.07244465
1194.6566376365454,14376,1.0641907,0.08625997
1195.8561492275335,17374,0.9837077,0.103822686
1198.2537224393868,16801,1.0025387,0.09941714
1199.4517840602523,12822,1.1220305,0.075503916
1200.6493623577435,14971,1.0571252,0.08767481
1201.8464573318602,17751,0.9855247,0.103389226
1203.043068982603,13468,1.1078006,0.07801883
1204.2391973099716,18487,0.9725006,0.10653674
1206.6300039945854,17435,1.0024269,0.09944276
1207.8246823518314,15027,1.0691953,0.08527167
1209.0188773857028,14909,1.074824,0.08417362
1210.2125890962002,16381,1.0360601,0.092032224
1211.405817483323,16587,1.0325243,0.09278455
1212.5985625470719,16284,1.042405,0.090697445
1214.982602704447,14290,1.1028862,0.078906685
1216.1738977980729,17018,1.0288883,0.093564615
1217.3647095683248,17402,1.0210586,0.095266774
1218.5550380152022,16896,1.0357196,0.092104405
1219.7448831387057,15104,1.08624,0.08198982
1220.9342449388348,12918,1.1559459,0.06983194
1222.1231234155898,16038,1.0637388,0.08634976
1224.499430398977,19988,0.971562,0.10676723
1225.686858905609,16113,1.0671108,0.08568192
1226.873804088867,20711,0.960024,0.10964176
1228.0602659487508,19747,0.9826532,0.1040751
1229.2462444852604,17193,1.0448077,0.09019705
1230.4317396983956,18901,1.0056614,0.0987049
1232.8012801545433,20684,0.97044003,0.10704342
1233.985325397556,20045,0.98601276,0.10327311
1235.1688873171943,17645,1.0433216,0.09050621
1236.3519659134581,19489,1.0020254,0.099534735
1237.5345611863481,20896,0.97360426,0.106266335
1238.7166731358639,20050,0.99338895,0.1015339
1241.0794470647722,18165,1.0399777,0.09120578
1242.2601090441651,18835,1.0261186,0.09416323
1243.440287700184,21031,0.98007894,0.10469382
1244.6199830328283,20802,0.9869344,0.10305417
1245.7991950420983,19243,1.0227673,0.09489267
1246.9779237279945,18186,1.0492837,0.089272216
1248.1561690905162,21566,0.9769513,0.10545051
1250.511209845437,21101,0.9897623,0.10238532
1251.688005237836,19084,1.0348916,0.092280164
1252.8643173068608,18245,1.0558994,0.087922625
1254.0401460525113,21878,0.97850025,0.10507509
1255.2154914747875,21331,0.99119323,0.10204853
1256.3903535736895,19442,1.0331432,0.092652425
1258.738627801371,20453,1.0146149,0.096690774
1259.9120399301505,19759,1.031414,0.09302205
1261.0849687355558,20834,1.0101937,0.09768013
1262.2574142175865,21232,1.0040739,0.099066354
1263.4293763762432,18431,1.067993,0.08550803
1264.6008552115256,21298,1.0076624,0.09825115
1266.9423629119678,21826,1.0011029,0.09974636
1268.1123917771274,21431,1.0110544,0.09748675
1269.2819373189132,20836,1.0255976,0.09427628
1270.4509995373242,19533,1.0559438,0.08791362
1271.6195784323613,20918,1.0284774,0.09365318
1272.7876740040242,21772,1.0135173,0.09693548
1273.9552862523126,19176,1.0710583,0.08490666
1276.2890607787672,18884,1.0823206,0.08273312
1277.455223056933,21098,1.0363692,0.09196675
1278.6209020117244,23250,0.9963987,0.100832686
1279.7860976431418,20055,1.0625141,0.086593635
1280.950809951185,20571,1.0533879,0.088432536
1282.115038935854,21863,1.02883,0.09357719
1284.442046935069,22786,1.0145643,0.09670205
1285.6048259496151,20851,1.0549026,0.08812466
1286.767121640787,21502,1.0433383,0.090502724
1287.9289340085847,22256,1.0300412,0.09331656
1289.0902630530084,22129,1.0341914,0.09242908
1290.2511087740577,19287,1.095545,0.08025182
1292.5713502460335,22238,1.0366371,0.091910034
1293.73074599696,22288,1.0371132,0.09180933
1294.8896584245122,21092,1.0623937,0.08661763
1296.0480875286903,21246,1.060271,0.08704202
1297.2060333094942,24435,1.0005099,0.099882685
1298.3634957669237,23058,1.0266882,0.09403982
1299.5204749009793,19899,1.0916587,0.08097319
1301.8329831989672,19324,1.1061865,0.07830932
1302.9885123628999,18398,1.128327,0.07441714
1304.1435582034583,20434,1.0835533,0.08249862
1305.2981207206426,22577,1.0408223,0.09102858
1306.4521999144524,18939,1.1177106,0.0762587
1307.6057957848882,21890,1.0553968,0.088024415
1309.9115375556369,21737,1.0596567,0.087165214
1311.06368345595,20663,1.0822669,0.08274335
1312.2153460328886,20451,1.0876005,0.08173338
1313.3665252864532,23287,1.0320512,0.09288569
1314.5172212166435,22086,1.0558939,0.08792373
1315.6674338234598,18971,1.1222302,0.07546922
1317.9664090669692,18483,1.1341642,0.07342362
1319.1151717036626,20938,1.0801361,0.08315033
1320.2634510169817,20470,1.0900862,0.081266925
1321.4112470069265,18738,1.1286136,0.07436806
1322.5585596734973,16397,1.1868722,0.0650321
1323.7053890166935,16339,1.188709,0.06475764
1324.851735036516,18295,1.1398981,0.072460614
1327.1429771060375,20290,1.0957475,0.08021443
